REF_DATE,GEO,DGUID,Flowers and plants,Output,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007,Canada,2016A000011124,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221087,1.1.1,137778939,,,,0
2007,Canada,2016A000011124,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221098,1.1.2,665908000,,,,0
2007,Canada,2016A000011124,Total cuttings [1151433],Production (number),Number,223,units,0,v52221109,1.2.1,139391139,,,,0
2007,Canada,2016A000011124,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221120,1.2.2,131074000,,,,0
2007,Canada,2016A000011124,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221131,1.3.1,186660775,,,,0
2007,Canada,2016A000011124,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221142,1.3.2,145035310,,,,0
2007,Canada,2016A000011124,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221153,1.4.1,706580070,,,,0
2007,Canada,2016A000011124,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221164,1.4.2,250482850,,,,0
2007,Canada,2016A000011124,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221175,1.5.1,411935380,,,,0
2007,Canada,2016A000011124,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221186,1.5.2,53167600,,,,0
2007,Newfoundland and Labrador,2016A000210,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221077,2.1.1,350385,,,,0
2007,Newfoundland and Labrador,2016A000210,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221088,2.1.2,3238000,,,,0
2007,Newfoundland and Labrador,2016A000210,Total cuttings [1151433],Production (number),Number,223,units,0,v52221099,2.2.1,72800,,,,0
2007,Newfoundland and Labrador,2016A000210,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221110,2.2.2,1000,,,,0
2007,Newfoundland and Labrador,2016A000210,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221121,2.3.1,9930,,,,0
2007,Newfoundland and Labrador,2016A000210,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221132,2.3.2,21850,,,,0
2007,Newfoundland and Labrador,2016A000210,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221143,2.4.1,5898500,,,,0
2007,Newfoundland and Labrador,2016A000210,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221154,2.4.2,2497000,,,,0
2007,Newfoundland and Labrador,2016A000210,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221165,2.5.1,365500,,,,0
2007,Newfoundland and Labrador,2016A000210,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221176,2.5.2,240000,,,,0
2007,Prince Edward Island,2016A000211,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221078,3.1.1,57050,,,,0
2007,Prince Edward Island,2016A000211,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221089,3.1.2,531000,,,,0
2007,Prince Edward Island,2016A000211,Total cuttings [1151433],Production (number),Number,223,units,0,v52221100,3.2.1,0,,,,0
2007,Prince Edward Island,2016A000211,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221111,3.2.2,0,,,,0
2007,Prince Edward Island,2016A000211,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221122,3.3.1,1300000,,,,0
2007,Prince Edward Island,2016A000211,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221133,3.3.2,,x,,,0
2007,Prince Edward Island,2016A000211,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221144,3.4.1,,x,,,0
2007,Prince Edward Island,2016A000211,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221155,3.4.2,933850,,,,0
2007,Prince Edward Island,2016A000211,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221166,3.5.1,338680,,,,0
2007,Prince Edward Island,2016A000211,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221177,3.5.2,126600,,,,0
2007,Nova Scotia,2016A000212,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221079,4.1.1,890480,,,,0
2007,Nova Scotia,2016A000212,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221090,4.1.2,8200000,,,,0
2007,Nova Scotia,2016A000212,Total cuttings [1151433],Production (number),Number,223,units,0,v52221101,4.2.1,1635000,,,,0
2007,Nova Scotia,2016A000212,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221112,4.2.2,534000,,,,0
2007,Nova Scotia,2016A000212,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221123,4.3.1,376600,,,,0
2007,Nova Scotia,2016A000212,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221134,4.3.2,,x,,,0
2007,Nova Scotia,2016A000212,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221145,4.4.1,8267000,,,,0
2007,Nova Scotia,2016A000212,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221156,4.4.2,2776000,,,,0
2007,Nova Scotia,2016A000212,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221167,4.5.1,918000,,,,0
2007,Nova Scotia,2016A000212,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221178,4.5.2,511000,,,,0
2007,New Brunswick,2016A000213,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221080,5.1.1,1904220,,,,0
2007,New Brunswick,2016A000213,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221091,5.1.2,10675000,,,,0
2007,New Brunswick,2016A000213,Total cuttings [1151433],Production (number),Number,223,units,0,v52221102,5.2.1,9244989,,,,0
2007,New Brunswick,2016A000213,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221113,5.2.2,4735000,,,,0
2007,New Brunswick,2016A000213,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221124,5.3.1,76135,,,,0
2007,New Brunswick,2016A000213,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221135,5.3.2,,x,,,0
2007,New Brunswick,2016A000213,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221146,5.4.1,,x,,,0
2007,New Brunswick,2016A000213,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221157,5.4.2,13900000,,,,0
2007,New Brunswick,2016A000213,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221168,5.5.1,,x,,,0
2007,New Brunswick,2016A000213,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221179,5.5.2,1691000,,,,0
2007,Quebec,2016A000224,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221081,6.1.1,11514819,,,,0
2007,Quebec,2016A000224,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221092,6.1.2,90578000,,,,0
2007,Quebec,2016A000224,Total cuttings [1151433],Production (number),Number,223,units,0,v52221103,6.2.1,15338350,,,,0
2007,Quebec,2016A000224,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221114,6.2.2,10012000,,,,0
2007,Quebec,2016A000224,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221125,6.3.1,1755700,,,,0
2007,Quebec,2016A000224,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221136,6.3.2,,F,,,0
2007,Quebec,2016A000224,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221147,6.4.1,100054000,,,,0
2007,Quebec,2016A000224,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221158,6.4.2,44583000,,,,0
2007,Quebec,2016A000224,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221169,6.5.1,,x,,,0
2007,Quebec,2016A000224,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221180,6.5.2,7135000,,,,0
2007,Ontario,2016A000235,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221082,7.1.1,96344000,,,,0
2007,Ontario,2016A000235,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221093,7.1.2,375000000,,,,0
